	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10
a1	1.000000	0.200000	0.700000	0.700000	0.000000	0.900000	0.500000	0.700000	0.600000	0.700000
a2	0.200000	1.000000	0.125000	0.285714	0.000000	0.222222	0.166667	0.285714	0.142857	0.125000
a3	0.700000	0.125000	1.000000	0.555556	0.000000	0.600000	0.333333	0.400000	0.444444	0.555556
a4	0.700000	0.285714	0.555556	1.000000	0.000000	0.600000	0.333333	0.555556	0.857143	0.555556
a5	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
a6	0.900000	0.222222	0.600000	0.600000	0.000000	1.000000	0.555556	0.777778	0.500000	0.600000
a7	0.500000	0.166667	0.333333	0.333333	0.000000	0.555556	1.000000	0.714286	0.375000	0.714286
a8	0.700000	0.285714	0.400000	0.555556	0.000000	0.777778	0.714286	1.000000	0.444444	0.555556
a9	0.600000	0.142857	0.444444	0.857143	0.000000	0.500000	0.375000	0.444444	1.000000	0.625000
a10	0.700000	0.125000	0.555556	0.555556	0.000000	0.600000	0.714286	0.555556	0.625000	1.000000
